ID,OBJID,RELATIVE_FRAME,LANE_ID,ORIENTATION,SOLIDITY,AREA,WIDTH,COMPACTNESS_RATIO,ASPECT_RATIO,ECCENTRICITY,CENTROID_X,CENTROID_Y,YOCC,YCLASS
2,2,17,4,0.83425,0.86811,0.315,0.75091,0.61727,1.0556,0.81985,235.37,173.15,0,2
2,2,18,4,0.99054,0.90889,0.35242,0.73826,0.72086,1.1111,0.87505,235.19,174.28,0,2
2,2,19,4,0.95537,0.87212,0.34589,0.69324,0.6607,1.2353,0.8533,235.16,174.66,0,2
2,2,20,4,0.93719,0.8551,0.34286,0.68773,0.53357,1.1765,0.83488,235.4,175.2,0,2
2,2,21,4,0.98104,0.84079,0.37245,0.79621,0.58377,1.1,0.88625,235.58,176.3,0,2
2,2,22,4,0.90885,0.89918,0.34294,0.71311,0.71724,1,0.84575,236.3,176.63,0,2
2,2,23,4,0.91306,0.88247,0.35258,0.70629,0.68812,1.0556,0.86956,236.55,177.3,0,2
2,2,24,4,0.9883,0.875,0.39614,0.73322,0.67963,1.1579,0.7684,237.14,178.47,0,2
2,2,25,4,0.88349,0.87943,0.36714,0.73104,0.66854,1.1053,0.85259,236.85,178.69,0,2
2,2,26,4,0.8792,0.94626,0.36163,0.65114,0.81834,1.2353,0.79708,237.29,179.01,0,2
2,2,27,4,0.72071,0.93451,0.36365,0.74228,0.76963,0.95,0.96892,237.82,181.3,0,2
2,2,28,4,0.72126,0.93548,0.35203,0.69779,0.81014,1.0526,0.92079,238.25,182.08,0,2
2,2,29,4,0.67754,0.90702,0.36918,0.72883,0.70468,1,0.949,238.65,182.66,0,2
2,2,30,4,0.54462,0.88364,0.34538,0.68985,0.64795,1.0526,0.92684,238.61,182.94,0,2
2,2,31,4,0.66847,0.93432,0.36874,0.72003,0.83709,1,0.96409,238.85,183.58,0,2
2,2,32,4,0.78758,0.85812,0.38182,0.69687,0.64868,1.3,0.86008,239.97,186.11,0,2
2,2,33,4,0.77811,0.89312,0.36643,0.69323,0.7202,1.2,0.84124,239.78,186.52,0,2
2,2,34,4,0.97301,0.85928,0.40933,0.75779,0.63455,1.1818,0.90265,240.58,187.02,0,2
2,2,35,4,0.76704,0.88104,0.41052,0.71362,0.58379,1.2857,0.84307,240.58,188.1,0,2
2,2,36,4,0.87742,0.89878,0.36939,0.73273,0.66692,1,0.86245,241.01,189.74,0,2
2,2,37,4,0.97038,0.90609,0.38067,0.71839,0.6732,1.0455,0.88398,241.69,191.38,0,2
2,2,38,4,0.93262,0.91755,0.403,0.70765,0.72152,1.1364,0.86236,242.12,192.66,0,2
2,2,39,4,0.96235,0.83213,0.41163,0.798,0.4783,1.04,0.85965,242.46,193.31,0,2
2,2,40,4,0.89912,0.89359,0.40992,0.75749,0.66294,1.125,0.82857,242.81,194.29,0,2
2,2,41,4,0.93522,0.93151,0.39328,0.71408,0.76581,1.087,0.88476,243.56,195.73,0,2
2,2,42,4,0.9294,0.88443,0.43427,0.7044,0.57458,1.3478,0.74572,243.9,196.94,0,2
2,2,43,4,0.86247,0.89135,0.41504,0.7481,0.64949,1.24,0.78921,244.41,199.04,0,2
2,2,44,4,0.9319,0.9006,0.38734,0.7053,0.71171,1.1667,0.86067,244.63,200.71,0,2
2,2,45,4,0.95214,0.93909,0.38738,0.69458,0.79996,1.0833,0.8635,245.08,202.15,0,2
2,2,46,4,0.93969,0.93921,0.37499,0.68265,0.80531,1.125,0.83701,245.63,203.81,0,2
2,2,47,4,0.99469,0.88181,0.40559,0.77752,0.60721,1.0357,0.81082,246.65,206.15,0,2
2,2,48,4,0.91874,0.85328,0.41724,0.79694,0.56436,1.0345,0.83689,247.18,207.18,0,2
2,2,49,4,0.91677,0.88306,0.4054,0.7027,0.63278,1.2692,0.75192,247.82,208.86,0,2
2,2,50,4,0.90208,0.90094,0.40479,0.71763,0.65357,1.2222,0.77885,247.89,210.57,0,2
2,2,51,4,0.95367,0.86195,0.43842,0.78519,0.57293,1.2,0.76344,248.44,212.16,0,2
2,2,52,4,0.97874,0.9181,0.40639,0.70612,0.66949,1.1786,0.78299,249.77,216.13,0,2
2,2,53,4,0.95179,0.89763,0.43015,0.74288,0.65068,1.2,0.7629,251.08,218.13,0,2
2,2,54,4,0.98537,0.88571,0.41271,0.72975,0.59671,1.1667,0.79079,251.12,220.12,0,2
3,3,1,3,0.99582,0.86297,0.34197,0.72103,0.69472,1.0667,0.8786,214.66,168.46,0,2
3,3,2,3,0.98651,0.87397,0.36357,0.71615,0.68416,1.1333,0.78876,214.57,168.82,0,2
3,3,3,3,0.94206,0.87467,0.37038,0.71284,0.69728,1.0667,0.87853,214.89,169.06,0,2
3,3,4,3,0.97707,0.87192,0.39283,0.70665,0.68889,1.2,0.76878,214.59,169.52,0,2
3,3,5,3,0.88001,0.86064,0.37215,0.68975,0.67051,1.2,0.83091,214.72,170.82,0,2
3,3,6,3,0.84838,0.86667,0.39713,0.67692,0.68767,1.2667,0.82124,214.59,171.85,0,2
3,3,7,3,0.84838,0.87441,0.3663,0.71292,0.70135,1.0625,0.88644,214.84,172.56,0,2
3,3,8,3,0.89283,0.86374,0.36701,0.70882,0.7193,1.0625,0.92862,214.56,172.89,0,2
3,3,9,3,0.99096,0.86475,0.40727,0.70294,0.6425,1.1875,0.81296,214.4,173.36,0,2
3,3,10,3,0.93205,0.84894,0.37722,0.69574,0.57008,1.125,0.88533,214.02,173.95,0,2
3,3,11,3,0.81808,0.94725,0.37263,0.67967,0.82863,1.125,0.82784,214.36,175.31,0,2
3,3,12,3,0.92362,0.91734,0.40517,0.71743,0.79104,1.1765,0.77013,214.52,175.7,0,2
3,3,13,3,0.98553,0.87432,0.41866,0.75179,0.68581,1.1667,0.81676,214.6,176.32,0,2
3,3,14,3,0.98148,0.9127,0.3895,0.69958,0.73375,1.1176,0.86092,214.58,177.21,0,2
3,3,15,3,0.96329,0.94208,0.41032,0.69713,0.79326,1.1176,0.82023,214.55,177.42,0,2
3,3,16,3,0.98952,0.9026,0.44619,0.76119,0.73474,1.1579,0.82478,214.33,178.86,0,2
